check,status,subject,detail
unique_event_id,pass,all_events,duplicates=0
unique_event_signature,pass,all_events,events=144
entity_reference,pass,WIKI-1987-001,CNUR-000106
automatic_continuity,pass,WIKI-1987-001,type=upgrade automatic=True
entity_reference,pass,WIKI-1987-002,CNUR-000095
automatic_continuity,pass,WIKI-1987-002,type=upgrade automatic=True
entity_reference,pass,WIKI-1987-003,CNUR-000341
automatic_continuity,pass,WIKI-1987-003,type=abolish automatic=False
historical_lifespan,pass,WIKI-1987-003,event=1987 lifespan=1955-1987
entity_reference,pass,WIKI-1987-004,CNUR-000238
automatic_continuity,pass,WIKI-1987-004,type=rename automatic=True
entity_reference,pass,WIKI-1987-005,CNUR-000254
automatic_continuity,pass,WIKI-1987-005,type=rename automatic=True
entity_reference,pass,WIKI-1988-006,CNUR-000012
automatic_continuity,pass,WIKI-1988-006,type=upgrade automatic=True
entity_reference,pass,WIKI-1988-007,CNUR-000019
automatic_continuity,pass,WIKI-1988-007,type=establish automatic=False
entity_reference,pass,WIKI-1988-008,CNUR-000188
automatic_continuity,pass,WIKI-1988-008,type=upgrade automatic=True
entity_reference,pass,WIKI-1988-009,CNUR-000205
automatic_continuity,pass,WIKI-1988-009,type=upgrade automatic=True
entity_reference,pass,WIKI-1988-010,CNUR-000206
automatic_continuity,pass,WIKI-1988-010,type=upgrade automatic=True
entity_reference,pass,WIKI-1988-011,CNUR-000208
automatic_continuity,pass,WIKI-1988-011,type=establish automatic=False
entity_reference,pass,WIKI-1988-012,CNUR-000209
automatic_continuity,pass,WIKI-1988-012,type=establish automatic=False
entity_reference,pass,WIKI-1988-013,CNUR-000207
automatic_continuity,pass,WIKI-1988-013,type=upgrade automatic=True
entity_reference,pass,WIKI-1988-014,CNUR-000210
automatic_continuity,pass,WIKI-1988-014,type=establish automatic=False
entity_reference,pass,WIKI-1988-015,CNUR-000211
automatic_continuity,pass,WIKI-1988-015,type=establish automatic=False
entity_reference,pass,WIKI-1988-016,CNUR-000105
automatic_continuity,pass,WIKI-1988-016,type=merge automatic=False
entity_reference,pass,WIKI-1988-017,CNUR-000113
automatic_continuity,pass,WIKI-1988-017,type=establish_prefecture automatic=False
entity_reference,pass,WIKI-1988-018,CNUR-000121
automatic_continuity,pass,WIKI-1988-018,type=rename automatic=True
entity_reference,pass,WIKI-1992-019,CNUR-000107
automatic_continuity,pass,WIKI-1992-019,type=upgrade automatic=True
entity_reference,pass,WIKI-1992-020,CNUR-000342
automatic_continuity,pass,WIKI-1992-020,type=upgrade automatic=True
historical_lifespan,pass,WIKI-1992-020,event=1992 lifespan=1992-1997
entity_reference,pass,WIKI-1992-021,CNUR-000172
automatic_continuity,pass,WIKI-1992-021,type=abolish automatic=False
entity_reference,pass,WIKI-1992-022,CNUR-000057
automatic_continuity,pass,WIKI-1992-022,type=establish automatic=False
entity_reference,pass,WIKI-1992-023,CNUR-000150
automatic_continuity,pass,WIKI-1992-023,type=rename automatic=True
entity_reference,pass,WIKI-1993-024,CNUR-000058
automatic_continuity,pass,WIKI-1993-024,type=upgrade automatic=True
entity_reference,pass,WIKI-1993-025,CNUR-000070
automatic_continuity,pass,WIKI-1993-025,type=upgrade automatic=True
entity_reference,pass,WIKI-1993-026,CNUR-000176
automatic_continuity,pass,WIKI-1993-026,type=establish automatic=False
entity_reference,pass,WIKI-1993-027,CNUR-000246
automatic_continuity,pass,WIKI-1993-027,type=upgrade automatic=True
entity_reference,pass,WIKI-1993-028,CNUR-000003
automatic_continuity,pass,WIKI-1993-028,type=merge automatic=False
entity_reference,pass,WIKI-1993-029,CNUR-000343
automatic_continuity,pass,WIKI-1993-029,type=abolish automatic=False
historical_lifespan,pass,WIKI-1993-029,event=1993 lifespan=1970-1993
entity_reference,pass,WIKI-1993-030,CNUR-000222
automatic_continuity,pass,WIKI-1993-030,type=establish automatic=False
entity_reference,pass,WIKI-1993-031,CNUR-000181
automatic_continuity,pass,WIKI-1993-031,type=rename automatic=True
entity_reference,pass,WIKI-1994-032,CNUR-000096
automatic_continuity,pass,WIKI-1994-032,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-033,CNUR-000121
automatic_continuity,pass,WIKI-1994-033,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-034,CNUR-000147
automatic_continuity,pass,WIKI-1994-034,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-035,CNUR-000148
automatic_continuity,pass,WIKI-1994-035,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-036,CNUR-000164
automatic_continuity,pass,WIKI-1994-036,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-037,CNUR-000190
automatic_continuity,pass,WIKI-1994-037,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-038,CNUR-000191
automatic_continuity,pass,WIKI-1994-038,type=establish automatic=False
entity_reference,pass,WIKI-1994-039,CNUR-000223
automatic_continuity,pass,WIKI-1994-039,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-040,CNUR-000293
automatic_continuity,pass,WIKI-1994-040,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-041,CNUR-000171
automatic_continuity,pass,WIKI-1994-041,type=merge automatic=False
entity_reference,pass,WIKI-1994-042,CNUR-000177
automatic_continuity,pass,WIKI-1994-042,type=upgrade automatic=True
entity_reference,pass,WIKI-1994-043,CNUR-000050
automatic_continuity,pass,WIKI-1994-043,type=rename automatic=True
entity_reference,pass,WIKI-1994-044,CNUR-000056
automatic_continuity,pass,WIKI-1994-044,type=rename automatic=True
entity_reference,pass,WIKI-1994-045,CNUR-000189
automatic_continuity,pass,WIKI-1994-045,type=rename automatic=True
entity_reference,pass,WIKI-1995-046,CNUR-000178
automatic_continuity,pass,WIKI-1995-046,type=upgrade automatic=True
entity_reference,pass,WIKI-1995-047,CNUR-000192
automatic_continuity,pass,WIKI-1995-047,type=upgrade automatic=True
entity_reference,pass,WIKI-1995-048,CNUR-000344
automatic_continuity,pass,WIKI-1995-048,type=upgrade automatic=True
historical_lifespan,pass,WIKI-1995-048,event=1995 lifespan=1995-1997
entity_reference,pass,WIKI-1996-049,CNUR-000013
automatic_continuity,pass,WIKI-1996-049,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-050,CNUR-000108
automatic_continuity,pass,WIKI-1996-050,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-051,CNUR-000122
automatic_continuity,pass,WIKI-1996-051,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-052,CNUR-000248
automatic_continuity,pass,WIKI-1996-052,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-053,CNUR-000295
automatic_continuity,pass,WIKI-1996-053,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-054,CNUR-000294
automatic_continuity,pass,WIKI-1996-054,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-055,CNUR-000177
automatic_continuity,pass,WIKI-1996-055,type=rename automatic=True
entity_reference,pass,WIKI-1996-056,CNUR-000345
automatic_continuity,pass,WIKI-1996-056,type=jurisdiction_transfer automatic=False
historical_lifespan,pass,WIKI-1996-056,event=1996 lifespan=1988-1997
entity_reference,pass,WIKI-1997-057,CNUR-000149
automatic_continuity,pass,WIKI-1997-057,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-058,CNUR-000165
