entity_id,year,changed_fields,v3_name,v4_year_end_name,v3_status,v4_year_end_status,v3_level,v4_year_end_level,transition_event_ids,v4_derivation_basis,review_status
CNUR-000110,2025,legal_name_zh,巢湖市,,abolished,abolished,none,none,,reviewed_event_chain,explained
CNUR-000110,2026,legal_name_zh,巢湖市,,abolished,abolished,none,none,,reviewed_event_chain,explained
CNUR-000112,1987,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1988,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1989,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1990,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1991,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1992,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1993,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1994,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1995,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1996,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1997,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1998,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000112,1999,legal_name_zh|status|legal_level,亳州市,,active,not_established,prefecture,none,PL-2000-022,entity_year_end_override,explained
CNUR-000180,1987,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1988,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1989,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1990,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1991,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1992,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1993,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1994,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1995,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1996,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1997,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1998,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,,entity_year_end_override,explained
CNUR-000180,1999,legal_name_zh|status|legal_level,随州市,,active,not_established,prefecture,none,PL-2000-023,entity_year_end_override,explained
CNUR-000234,1987,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1988,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1989,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1990,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1991,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1992,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1993,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1994,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1995,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1996,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1997,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1998,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000234,1999,legal_name_zh|status|legal_level,儋州市,,active,not_prefecture_level,prefecture,none,,entity_year_end_override,explained
CNUR-000273,1987,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1988,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1989,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1990,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1991,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1992,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1993,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1994,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1995,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1996,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1997,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1998,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000273,1999,legal_name_zh,临沧市,临沧地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1987,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1988,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1989,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1990,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1991,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1992,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
CNUR-000284,1993,legal_name_zh,昌都市,昌都地区,active,active,prefecture,prefecture,,reviewed_name_span_override,explained
