alias,entity_id,alias_type,start_year,end_year,level,source_id,review_status,rule_version
北京,E110100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
天津,E120100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
石家庄,E130100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
唐山,E130200,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
秦皇岛,E130300,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
邯郸,E130400,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
邢台,E130500,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
保定,E130600,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
张家口,E130700,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
承德,E130800,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
沧州,E130900,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
廊坊,E131000,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
衡水,E131100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
太原,E140100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
大同,E140200,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
阳泉,E140300,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
长治,E140400,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
晋城,E140500,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
朔州,E140600,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
晋中,E140700,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
运城,E140800,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
忻州,E140900,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
