event_id,event_year,approval_date,announcement_date,effective_date,implementation_date,annual_effective_year,annual_effective_basis,date_precision,temporal_confidence,review_status,source_ids,review_note
WIKI-1987-001,1987,1987-11-27,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1987-002,1987,1987-06-15,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1987-003,1987,1987-01-23,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1987-004,1987,1987-11-20,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1987-005,1987,,,,,1987,event_year_only,year,low,inferred,SRC-WIKI-1987,No exact approval or implementation date is recorded; the event year is used for year-end reconstruction.
WIKI-1987-006,1987,1987-01-23,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1987-007,1987,1987-07-24,,,,1987,approval_date_inferred,day,medium,inferred,SRC-WIKI-1987,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-008,1988,1988-09-13,,,,1988,approval_date_inferred,day,medium,inferred,SRC-WIKI-1988,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-009,1988,1988-03-24,,,,1988,approval_date_inferred,day,medium,inferred,SRC-WIKI-1988,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-010,1988,1988-01-23,,,,1988,approval_date_inferred,day,medium,inferred,SRC-WIKI-1988,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-011,1988,1988-05-18,,,,1988,approval_date_inferred,day,medium,inferred,SRC-WIKI-1988,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-012,1988,1988-01-07,,,,1988,approval_date_inferred,day,medium,inferred,SRC-WIKI-1988,No later effective or implementation date is recorded; year-end transition is inferred from the approval date.
WIKI-1988-013,1988,,,,,1988,event_year_only,year,low,inferred,SRC-WIKI-1988,No exact approval or implementation date is recorded; the event year is used for year-end reconstruction.
WIKI-1988-014,1988,,,,,1988,event_year_only,year,low,inferred,SRC-WIKI-1988,No exact approval or implementation date is recorded; the event year is used for year-end reconstruction.
WIKI-1988-015,1988,,,,,1988,event_year_only,year,low,inferred,SRC-WIKI-1988,No exact approval or implementation date is recorded; the event year is used for year-end reconstruction.
WIKI-1988-016,1988,,,,,1988,event_year_only,year,low,inferred,SRC-WIKI-1988,No exact approval or implementation date is recorded; the event year is used for year-end reconstruction.
