prefecture_entity_id,prefecture_name,year,county_to_district_count,district_merge_count,break_flag
CNUR-000001,北京市,1999,1,0,1
CNUR-000001,北京市,2001,3,0,1
CNUR-000001,北京市,2010,0,0,
CNUR-000001,北京市,2015,2,0,1
CNUR-000002,天津市,2000,1,0,1
CNUR-000002,天津市,2001,1,0,1
CNUR-000002,天津市,2009,0,0,
CNUR-000002,天津市,2015,2,0,1
CNUR-000002,天津市,2016,1,0,1
CNUR-000003,石家庄市,2001,0,0,
CNUR-000003,石家庄市,2014,3,0,1
CNUR-000004,唐山市,2002,2,0,1
CNUR-000004,唐山市,2012,1,0,1
CNUR-000005,秦皇岛市,2015,1,0,1
CNUR-000006,邯郸市,2016,3,0,1
CNUR-000007,邢台市,2020,2,0,1
CNUR-000008,保定市,2015,3,0,1
CNUR-000009,张家口市,2016,3,0,1
CNUR-000013,衡水市,2016,1,0,1
CNUR-000015,大同市,2018,1,0,1
CNUR-000017,长治市,2018,2,1,1
CNUR-000020,晋中市,2019,1,0,1
CNUR-000030,鄂尔多斯市,2016,0,0,
CNUR-000037,沈阳市,2016,1,0,1
CNUR-000038,大连市,2015,1,0,1
CNUR-000044,营口市,2004,1,0,1
CNUR-000045,阜新市,2002,0,0,
CNUR-000047,盘锦市,2016,1,0,1
CNUR-000049,朝阳市,2006,2,0,1
CNUR-000051,长春市,2014,1,0,1
CNUR-000056,白山市,2006,1,0,1
CNUR-000057,松原市,2008,0,0,
CNUR-000060,哈尔滨市,2004,1,0,1
CNUR-000060,哈尔滨市,2006,0,1,
CNUR-000060,哈尔滨市,2014,1,0,1
CNUR-000066,伊春市,2019,0,0,
CNUR-000067,佳木斯市,2006,0,0,
CNUR-000073,上海市,1999,1,0,1
CNUR-000073,上海市,2000,0,0,
CNUR-000073,上海市,2001,2,0,1
CNUR-000073,上海市,2005,0,0,
CNUR-000073,上海市,2009,0,1,
CNUR-000073,上海市,2011,0,1,
CNUR-000073,上海市,2015,0,0,
CNUR-000073,上海市,2016,1,0,1
CNUR-000074,南京市,2000,1,0,1
CNUR-000074,南京市,2002,2,0,1
CNUR-000074,南京市,2013,2,2,1
CNUR-000075,无锡市,2000,0,1,
CNUR-000075,无锡市,2015,0,0,
CNUR-000076,徐州市,2005,1,0,1
CNUR-000076,徐州市,2010,1,0,1
CNUR-000077,常州市,2002,1,0,1
CNUR-000077,常州市,2015,1,0,1
CNUR-000078,苏州市,2000,1,0,1
CNUR-000078,苏州市,2012,1,1,1
CNUR-000079,南通市,2009,0,0,
CNUR-000079,南通市,2020,1,2,1
CNUR-000080,连云港市,2001,0,0,
CNUR-000080,连云港市,2014,1,0,1
CNUR-000081,淮安市,2016,1,1,1
CNUR-000082,盐城市,2003,1,0,1
CNUR-000082,盐城市,2015,1,0,1
