row_id,year,section,table_number,row_number,row_kind,header_text,row_text,cells_json,raw_markup,source_title,source_url,revision_id
WIKI-COUNTY-1987-03-002,1987,县级行政区划调整 / 市辖区的调整与撤销,3,2,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,桥头区 | 430504 | 湖南省邵阳市 | 国务院2月12日批复同意；国函〔1987〕27号 | 撤销邵阳市桥头区 | 湖南省邵阳市 | 东区管辖,"[""桥头区"",""430504"",""湖南省邵阳市"",""国务院2月12日批复同意；国函〔1987〕27号"",""撤销邵阳市桥头区"",""湖南省邵阳市"",""东区管辖""]","[[桥头区 (邵阳市)|桥头区]] | 430504 | [[湖南省]][[邵阳市]] | [[中华人民共和国国务院|国务院]]2月12日批复同意<br>国函〔1987〕27号<ref name=""gb05""/> | 撤销邵阳市桥头区 | [[湖南省]][[邵阳市]] | ''[[东区 (邵阳市)|东区]]管辖{{notetag|[[邵阳市]][[东区 (邵阳市)|东区]]于1997年8月29日被[[s:国务院关于同意湖南省调整邵阳市市辖区行政区划的批复|批复]]撤销，原行政区域划入新设立的[[双清区]]、[[北塔区]]（国函〔1997〕83号）<ref name=""gb9731"">{{cite web|title=中华人民共和国国务院公报 1997年第31号|url=http://www.gov.cn/gongbao/shuju/1997/gwyb199731.pdf|website=[[中国政府网]]|accessdate=2020-07-29|date=1997-10-17|archive-date=2013-06-20|archive-url=https://web.archive.org/web/20130620120124/http://www.gov.cn/gongbao/shuju/1997/gwyb199731.pdf|dead-url=no}}</ref>。}}''",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-003,1987,县级行政区划调整 / 市辖区的调整与撤销,3,3,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,新密区 | 410107 | 河南省郑州市 | 国务院2月16日批复同意；国函〔1987〕29号 | 撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区 | 河南省郑州市 | 密县管辖,"[""新密区"",""410107"",""河南省郑州市"",""国务院2月16日批复同意；国函〔1987〕29号"",""撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区"",""河南省郑州市"",""密县管辖""]","[[新密区]] | 410107 | [[河南省]][[郑州市]] | [[中华人民共和国国务院|国务院]]2月16日批复同意<br>国函〔1987〕29号<ref name=""gb05""/> | 撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖<br>设立郑州市邙山区 | [[河南省]][[郑州市]] | ''[[密县]]管辖{{notetag|[[密县]]于1994年4月5日被[[s:民政部关于河南省撤销密县设立新密市的批复|批复]]撤销，设立县级[[新密市]]，由[[郑州市]]代管（民行批〔1994〕51号）<ref name=""gb9426"">{{cite web|title=中华人民共和国国务院公报 1994年第26号|url=http://www.gov.cn/gongbao/shuju/1994/gwyb199426.pdf|website=[[中国政府网]]|accessdate=2020-07-29|date=1994-11-14|archive-date=2020-07-28|archive-url=https://web.archive.org/web/20200728225850/http://www.gov.cn/gongbao/shuju/1994/gwyb199426.pdf|dead-url=no}}</ref>。}}''",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-004,1987,县级行政区划调整 / 市辖区的调整与撤销,3,4,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,河南省郑州市 | 国务院2月16日批复同意；国函〔1987〕29号 | 撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区 | 河南省郑州市 | 金海区 | 410111 | 邙山区 | 410108,"[""河南省郑州市"",""国务院2月16日批复同意；国函〔1987〕29号"",""撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区"",""河南省郑州市"",""金海区"",""410111"",""邙山区"",""410108""]","[[金海区]] | 410111 | [[邙山区]]{{notetag|[[郑州市]][[邙山区]]于2003年12月25日被批复更名为[[惠济区]]（民函〔2003〕270号）<ref name=""mz03"">{{cite web|title=中华人民共和国行政区划（2003年）|url=http://www.gov.cn/test/2007-03/23/content_559287.htm|website=[[中国政府网]]|date=2007-03-23|accessdate=2020-07-29|archive-date=2021-01-17|archive-url=https://web.archive.org/web/20210117000936/http://www.gov.cn/test/2007-03/23/content_559287.htm|dead-url=no}}</ref>。}} | 410108",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-005,1987,县级行政区划调整 / 市辖区的调整与撤销,3,5,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,河南省郑州市 | 国务院2月16日批复同意；国函〔1987〕29号 | 撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区 | 河南省郑州市 | 邙山区 | 410108 | 郊区 | 410112,"[""河南省郑州市"",""国务院2月16日批复同意；国函〔1987〕29号"",""撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区"",""河南省郑州市"",""邙山区"",""410108"",""郊区"",""410112""]",[[郊区 (郑州市)|郊区]] | 410112,1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-006,1987,县级行政区划调整 / 市辖区的调整与撤销,3,6,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,河南省郑州市 | 国务院2月16日批复同意；国函〔1987〕29号 | 撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区 | 河南省郑州市 | 邙山区 | 410108 | 黄州区 | 420703 | 湖北省鄂州市 | 国务院2月27日批复同意；国函〔1987〕41号 | 撤销鄂州市黄州区，将原黄州区恢复为县辖镇，划归黄冈县 | 湖北省黄冈地区 | 黄冈县管辖,"[""河南省郑州市"",""国务院2月16日批复同意；国函〔1987〕29号"",""撤销郑州市新密区、金海区、郊区，将原新密区的行政区划划归密县管辖；设立郑州市邙山区"",""河南省郑州市"",""邙山区"",""410108"",""黄州区"",""420703"",""湖北省鄂州市"",""国务院2月27日批复同意；国函〔1987〕41号"",""撤销鄂州市黄州区，将原黄州区恢复为县辖镇，划归黄冈县"",""湖北省黄冈地区"",""黄冈县管辖""]","[[黄州区 (鄂州市)|黄州区]] | 420703{{notetag|与[[黄冈市]][[华容区]]重复。}} | [[湖北省]][[鄂州市]] | [[中华人民共和国国务院|国务院]]2月27日批复同意<br>国函〔1987〕41号<ref name=""gb08""/> | 撤销鄂州市黄州区，将原黄州区恢复为县辖镇，划归黄冈县 | [[湖北省]][[黄冈地区]] | ''[[黄冈县]]管辖{{notetag|黄冈县于1990年12月26日被批复撤销，设立[[黄州市]]（县级）<ref name=""mz90"">{{cite web|title=中华人民共和国行政区划（1990年）|url=http://www.gov.cn/test/2007-03/23/content_559159.htm|website=[[中国政府网]]|date=2007-03-23|accessdate=2020-07-29|archive-date=2020-07-28|archive-url=https://web.archive.org/web/20200728221758/http://www.gov.cn/test/2007-03/23/content_559159.htm|dead-url=no}}</ref>。<br>[[黄冈地区]]与县级黄州市于1995年12月23日被[[s:国务院关于同意湖北省撤销黄冈地区设立地级黄冈市的批复|批复]]撤销，原县级黄州市行政区域由新设立的[[黄冈市]][[黄州区]]、[[团风县]]管辖（国函〔1995〕130号）<ref name=""gb9532"">{{cite web|title=中华人民共和国国务院公报 1995年第32号|url=http://www.gov.cn/gongbao/shuju/1995/gwyb199532.pdf|website=[[中国政府网]]|accessdate=2020-07-29|date=1996-01-05|archive-date=2020-07-28|archive-url=https://web.archive.org/web/20200728214555/http://www.gov.cn/gongbao/shuju/1995/gwyb199532.pdf|dead-url=no}}</ref>。}}''",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-007,1987,县级行政区划调整 / 市辖区的调整与撤销,3,7,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,东营区 | 370502 | 山东省东营市 | 国务院6月10日批复同意；国函〔1987〕101号 | 将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域 | 山东省东营市 | 东营区 | 370502,"[""东营区"",""370502"",""山东省东营市"",""国务院6月10日批复同意；国函〔1987〕101号"",""将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域"",""山东省东营市"",""东营区"",""370502""]","[[东营区]] | 370502 | [[山东省]][[东营市]] | [[中华人民共和国国务院|国务院]]6月10日批复同意<br>国函〔1987〕101号<ref name=""gb25""/> | 将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域 | [[山东省]][[东营市]] | [[东营区]] | 370502",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-008,1987,县级行政区划调整 / 市辖区的调整与撤销,3,8,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,山东省东营市 | 国务院6月10日批复同意；国函〔1987〕101号 | 将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域 | 山东省东营市 | 东营区 | 370502 | 牛庄区 | 370504,"[""山东省东营市"",""国务院6月10日批复同意；国函〔1987〕101号"",""将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域"",""山东省东营市"",""东营区"",""370502"",""牛庄区"",""370504""]",[[牛庄区]] | 370504,1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-009,1987,县级行政区划调整 / 市辖区的调整与撤销,3,9,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,山东省东营市 | 国务院6月10日批复同意；国函〔1987〕101号 | 将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域 | 山东省东营市 | 东营区 | 370502 | 开元区管辖 | 福建省厦门市 | 国务院6月15日批复同意；国函〔1987〕104号 | 设立湖里区，湖里区辖原属开元区的湖里街道和原属郊区的禾山乡； | 福建省厦门市 | 湖里区 | 350206,"[""山东省东营市"",""国务院6月10日批复同意；国函〔1987〕101号"",""将东营市牛庄、东营两区合并为东营区，以原牛庄、东营两区的行政区域为东营区的行政区域"",""山东省东营市"",""东营区"",""370502"",""开元区管辖"",""福建省厦门市"",""国务院6月15日批复同意；国函〔1987〕104号"",""设立湖里区，湖里区辖原属开元区的湖里街道和原属郊区的禾山乡；"",""福建省厦门市"",""湖里区"",""350206""]","''[[开元区]]管辖''{{notetag|[[厦门市]][[开元区]]于2003年4月26日被[[s:国务院关于同意福建省调整厦门市部分行政区划的批复|批复]]撤销，并入[[思明区]]（国函〔2003〕52号）<ref name=""mz03""/>。}} | [[福建省]][[厦门市]] | [[中华人民共和国国务院|国务院]]6月15日批复同意<br>国函〔1987〕104号<ref name=""gb27""/> | 设立湖里区，湖里区辖原属开元区的[[湖里街道]]和原属郊区的[[禾山街道|禾山乡]]<br> | [[福建省]][[厦门市]] | [[湖里区]] | 350206",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-010,1987,县级行政区划调整 / 市辖区的调整与撤销,3,10,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,鄂州市派出机构管辖 | 湖北省鄂州市 | 国务院8月10日批复同意；国函〔1987〕139号 | 设立华容区；设立梁子湖区 | 湖北省鄂州市 | 华容区 | 420703,"[""鄂州市派出机构管辖"",""湖北省鄂州市"",""国务院8月10日批复同意；国函〔1987〕139号"",""设立华容区；设立梁子湖区"",""湖北省鄂州市"",""华容区"",""420703""]","''[[鄂州市]]派出机构管辖'' | [[湖北省]][[鄂州市]] | [[中华人民共和国国务院|国务院]]8月10日批复同意<br>国函〔1987〕139号<ref name=""gb27""/> | 设立华容区<br>设立梁子湖区 | [[湖北省]][[鄂州市]] | [[华容区]] | 420703",1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
WIKI-COUNTY-1987-03-011,1987,县级行政区划调整 / 市辖区的调整与撤销,3,11,data,原行政单位 | 原属省市 | 变更时间与批文 | 变更方式 | 新属省市 | 新行政建制,鄂州市派出机构管辖 | 湖北省鄂州市 | 国务院8月10日批复同意；国函〔1987〕139号 | 设立华容区；设立梁子湖区 | 湖北省鄂州市 | 梁子湖区 | 420702,"[""鄂州市派出机构管辖"",""湖北省鄂州市"",""国务院8月10日批复同意；国函〔1987〕139号"",""设立华容区；设立梁子湖区"",""湖北省鄂州市"",""梁子湖区"",""420702""]",[[梁子湖区]] | 420702,1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601
