entity_id,first_active_year,last_active_year,pre_active_status,post_active_status,annual_effective_basis,temporal_confidence,review_status,source_ids,review_note
CNUR-000057,1992,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1992,松原市从1992年末起作为地级实体。
CNUR-000085,1996,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1996,泰州市从1996年末起作为地级实体。
CNUR-000086,1996,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1996,宿迁市从1996年末起作为地级实体。
CNUR-000112,2000,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-2000,CTAmap 2000年初无亳州市；2000年内设立，1999年末不得视为活动地级实体。
CNUR-000144,1987,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1987,威海市从1987年末起作为地级实体。
CNUR-000145,1989,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1989,日照市从1989年末起作为地级实体。
CNUR-000177,1994,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1994,荆沙/荆州市研究实体从1994年末起活动。
CNUR-000180,2000,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-2000,CTAmap 2000年初无地级随州市；2000年内设立。
CNUR-000189,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,张家界市从1988年末起作为地级实体。
CNUR-000206,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,惠州市不得向前继承惠阳地区。
CNUR-000208,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,汕尾市从1988年末起作为地级实体。
CNUR-000209,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,河源市从1988年末起作为地级实体。
CNUR-000212,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,东莞市从1988年末起作为地级实体。
CNUR-000213,1988,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1988,中山市从1988年末起作为地级实体。
CNUR-000214,1991,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1991,潮州市从1991年末起作为地级实体。
CNUR-000215,1991,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1991,揭阳市从1991年末起作为地级实体。
CNUR-000216,1994,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1994,云浮市从1994年末起作为地级实体。
CNUR-000224,1995,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1995,贵港市从1995年末起作为地级实体。
CNUR-000227,1997,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1997,贺州市从1997年末起作为地级实体。
CNUR-000229,2002,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-2002,来宾市不得向前继承柳州地区。
CNUR-000230,2002,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-2002,崇左市不得向前继承南宁地区。
CNUR-000234,2015,,not_prefecture_level,,reviewed_prefecture_upgrade_year,high,reviewed,SRC-WIKI-2015,儋州在2015年升为地级市前不是地级研究实体。
CNUR-000247,1997,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1997,眉山市从1997年末起作为地级实体。
CNUR-000253,1998,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-1998,资阳市从1998年末起作为地级实体。
CNUR-000325,2003,,not_established,,reviewed_establishment_year,high,reviewed,SRC-WIKI-2003,中卫市从2003年末起作为地级实体。
CNUR-000348,1987,1987,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1988,安庆地区在1988年事件生效前最后活动年末为1987年。
CNUR-000349,1987,1991,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1992,宜昌地区最后活动年末为1991年。
CNUR-000350,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,石家庄地区最后活动年末为1992年。
CNUR-000351,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,张家口地区最后活动年末为1992年。
CNUR-000352,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,沧州地区最后活动年末为1992年。
CNUR-000353,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,邯郸地区最后活动年末为1992年。
CNUR-000354,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,邢台地区最后活动年末为1992年。
CNUR-000355,1987,1992,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1993,承德地区最后活动年末为1992年。
CNUR-000356,1987,1993,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1994,保定地区最后活动年末为1993年。
CNUR-000357,1987,1993,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1994,郧阳地区最后活动年末为1993年。
CNUR-000358,1987,1993,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1994,荆州地区最后活动年末为1993年。
CNUR-000359,1987,1993,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1994,沙市市最后活动年末为1993年。
CNUR-000360,1987,1995,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1996,松花江地区最后活动年末为1995年。
CNUR-000361,1987,1997,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1998,桂林地区最后活动年末为1997年。
CNUR-000362,1987,2001,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-2002,柳州地区最后活动年末为2001年。
CNUR-000363,1987,1996,not_established,abolished,reviewed_termination_year,high,reviewed,SRC-WIKI-1997,梧州地区最后活动年末为1996年。
