entity_id,name_2000,name_2001,name_2002,name_2003,name_2004,name_2005,name_2006,name_2007,name_2008,name_2009,name_2010,name_2011,name_2012,name_2013,name_2014,name_2015,name_2016,name_2017,name_2018,name_2019,name_2020,name_2021,name_2022,name_2023,name_2024
E110100,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市
E120100,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市
E130100,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市,石家庄市
E130200,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市,唐山市
E130300,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市,秦皇岛市
E130400,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市,邯郸市
E130500,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市,邢台市
E130600,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市,保定市
E130700,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市,张家口市
E130800,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市,承德市
