entity_id,legacy_entity_id,canonical_name_zh,entity_scope,province_name_zh,province_short_zh,entity_type,first_active_year,last_active_year,status_in_2026,verification_status,name_history,event_count,successor_summary,primary_source_url
CNUR-000001,E110100,北京市,current_panel_entity,北京市,北京,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 北京市,0,,
CNUR-000002,E120100,天津市,current_panel_entity,天津市,天津,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 天津市,0,,
CNUR-000003,E130100,石家庄市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 石家庄市,1,,
CNUR-000004,E130200,唐山市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 唐山市,0,,
CNUR-000005,E130300,秦皇岛市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 秦皇岛市,0,,
CNUR-000006,E130400,邯郸市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 邯郸市,0,,
CNUR-000007,E130500,邢台市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 邢台市,0,,
CNUR-000008,E130600,保定市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 保定市,0,,
CNUR-000009,E130700,张家口市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 张家口市,0,,
CNUR-000010,E130800,承德市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 承德市,0,,
CNUR-000011,E130900,沧州市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 沧州市,0,,
CNUR-000012,E131000,廊坊市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1987 廊坊地区; 1988-2026 廊坊市,1,,
CNUR-000013,E131100,衡水市,current_panel_entity,河北省,河北,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1995 衡水地区; 1996-2026 衡水市,1,,
CNUR-000014,E140100,太原市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 太原市,0,,
CNUR-000015,E140200,大同市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 大同市,0,,
CNUR-000016,E140300,阳泉市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 阳泉市,0,,
CNUR-000017,E140400,长治市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 长治市,0,,
CNUR-000018,E140500,晋城市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 晋城市,0,,
CNUR-000019,E140600,朔州市,current_panel_entity,山西省,山西,prefecture_research_entity,1988,2026,active,wikipedia_entity_verified,1987-1987 [not_established]; 1988-2026 朔州市,1,,
CNUR-000020,E140700,晋中市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1998 晋中地区; 1999-2026 晋中市,1,,
CNUR-000021,E140800,运城市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 运城地区; 2000-2026 运城市,1,,
CNUR-000022,E140900,忻州市,current_panel_entity,山西省,山西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 忻州地区; 2000-2026 忻州市,1,,
