source_feature_id,source_id,snapshot_year,snapshot_label,panel_year,source_name,source_code,source_prefecture_type,province_name,entity_id,year_end_name,match_method,link_status,code_status,geometry_status,geometry_type,source_year_verified
CTAMAP-2000-PREF-0000,SRC-CTAMAP-1.30,2000,2000年初,1999,阿克苏地区,652900,地区,新疆维吾尔自治区,CNUR-000333,阿克苏地区,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0002,SRC-CTAMAP-1.30,2000,2000年初,1999,阿拉善盟,152900,盟,内蒙古自治区,CNUR-000036,阿拉善盟,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0003,SRC-CTAMAP-1.30,2000,2000年初,1999,阿勒泰地区,654300,地区,新疆维吾尔自治区,CNUR-000340,阿勒泰地区,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0004,SRC-CTAMAP-1.30,2000,2000年初,1999,阿里地区,542500,地区,西藏自治区,CNUR-000288,阿里地区,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0005,SRC-CTAMAP-1.30,2000,2000年初,1999,安康地区,612400,地区,陕西省,CNUR-000297,安康地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0006,SRC-CTAMAP-1.30,2000,2000年初,1999,安顺地区,522500,地区,贵州省,CNUR-000260,安顺地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0007,SRC-CTAMAP-1.30,2000,2000年初,1999,安阳市,410500,地级市,河南省,CNUR-000156,安阳市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0008,SRC-CTAMAP-1.30,2000,2000年初,1999,鞍山市,210300,地级市,辽宁省,CNUR-000039,鞍山市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0010,SRC-CTAMAP-1.30,2000,2000年初,1999,巴彦淖尔盟,152800,盟,内蒙古自治区,CNUR-000032,巴彦淖尔盟,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0011,SRC-CTAMAP-1.30,2000,2000年初,1999,巴音郭楞蒙古自治州,652800,自治州,新疆维吾尔自治区,CNUR-000332,巴音郭楞蒙古自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0012,SRC-CTAMAP-1.30,2000,2000年初,1999,巴中地区,513700,地区,四川省,CNUR-000252,巴中地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0013,SRC-CTAMAP-1.30,2000,2000年初,1999,白城市,220800,地级市,吉林省,CNUR-000058,白城市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0015,SRC-CTAMAP-1.30,2000,2000年初,1999,白山市,220600,地级市,吉林省,CNUR-000056,白山市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0016,SRC-CTAMAP-1.30,2000,2000年初,1999,白银市,620400,地级市,甘肃省,CNUR-000302,白银市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0017,SRC-CTAMAP-1.30,2000,2000年初,1999,百色地区,452600,地区,广西壮族自治区,CNUR-000226,百色地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0018,SRC-CTAMAP-1.30,2000,2000年初,1999,蚌埠市,340300,地级市,安徽省,CNUR-000100,蚌埠市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0019,SRC-CTAMAP-1.30,2000,2000年初,1999,包头市,150200,地级市,内蒙古自治区,CNUR-000026,包头市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0020,SRC-CTAMAP-1.30,2000,2000年初,1999,宝鸡市,610300,地级市,陕西省,CNUR-000291,宝鸡市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0021,SRC-CTAMAP-1.30,2000,2000年初,1999,保定市,130600,地级市,河北省,CNUR-000008,保定市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0022,SRC-CTAMAP-1.30,2000,2000年初,1999,保山地区,533000,地区,云南省,CNUR-000269,保山地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0024,SRC-CTAMAP-1.30,2000,2000年初,1999,北海市,450500,地级市,广西壮族自治区,CNUR-000221,北海市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0025,SRC-CTAMAP-1.30,2000,2000年初,1999,北京市,110000,不统计,北京市,CNUR-000001,北京市,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0027,SRC-CTAMAP-1.30,2000,2000年初,1999,本溪市,210500,地级市,辽宁省,CNUR-000041,本溪市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0028,SRC-CTAMAP-1.30,2000,2000年初,1999,毕节地区,522400,地区,贵州省,CNUR-000261,毕节地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0029,SRC-CTAMAP-1.30,2000,2000年初,1999,滨州地区,372300,地区,山东省,CNUR-000150,滨州地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0030,SRC-CTAMAP-1.30,2000,2000年初,1999,博尔塔拉蒙古自治州,652700,自治州,新疆维吾尔自治区,CNUR-000331,博尔塔拉蒙古自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0031,SRC-CTAMAP-1.30,2000,2000年初,1999,沧州市,130900,地级市,河北省,CNUR-000011,沧州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0032,SRC-CTAMAP-1.30,2000,2000年初,1999,昌都地区,542100,地区,西藏自治区,CNUR-000284,昌都地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0033,SRC-CTAMAP-1.30,2000,2000年初,1999,昌吉回族自治州,652300,自治州,新疆维吾尔自治区,CNUR-000330,昌吉回族自治州,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0035,SRC-CTAMAP-1.30,2000,2000年初,1999,常德市,430700,地级市,湖南省,CNUR-000188,常德市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0036,SRC-CTAMAP-1.30,2000,2000年初,1999,常州市,320400,地级市,江苏省,CNUR-000077,常州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0037,SRC-CTAMAP-1.30,2000,2000年初,1999,朝阳市,211300,地级市,辽宁省,CNUR-000049,朝阳市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0038,SRC-CTAMAP-1.30,2000,2000年初,1999,潮州市,445100,地级市,广东省,CNUR-000214,潮州市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0039,SRC-CTAMAP-1.30,2000,2000年初,1999,郴州市,431000,地级市,湖南省,CNUR-000191,郴州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0040,SRC-CTAMAP-1.30,2000,2000年初,1999,成都市,510100,地级市,四川省,CNUR-000236,成都市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0041,SRC-CTAMAP-1.30,2000,2000年初,1999,承德市,130800,地级市,河北省,CNUR-000010,承德市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0043,SRC-CTAMAP-1.30,2000,2000年初,1999,池州地区,342900,地区,安徽省,CNUR-000113,池州地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0044,SRC-CTAMAP-1.30,2000,2000年初,1999,赤峰市,150400,地级市,内蒙古自治区,CNUR-000028,赤峰市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0045,SRC-CTAMAP-1.30,2000,2000年初,1999,南宁地区,452100,地区,广西壮族自治区,CNUR-000346,南宁地区,year_end_name,linked,historical_or_different,valid,MultiPolygon,true
CTAMAP-2000-PREF-0046,SRC-CTAMAP-1.30,2000,2000年初,1999,滁州市,341100,地级市,安徽省,CNUR-000107,滁州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0047,SRC-CTAMAP-1.30,2000,2000年初,1999,楚雄彝族自治州,532300,自治州,云南省,CNUR-000274,楚雄彝族自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0048,SRC-CTAMAP-1.30,2000,2000年初,1999,达州市,511700,地级市,四川省,CNUR-000250,达州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0049,SRC-CTAMAP-1.30,2000,2000年初,1999,大理白族自治州,532900,自治州,云南省,CNUR-000278,大理白族自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0050,SRC-CTAMAP-1.30,2000,2000年初,1999,大连市,210200,地级市,辽宁省,CNUR-000038,大连市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0051,SRC-CTAMAP-1.30,2000,2000年初,1999,大庆市,230600,地级市,黑龙江省,CNUR-000065,大庆市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0052,SRC-CTAMAP-1.30,2000,2000年初,1999,大同市,140200,地级市,山西省,CNUR-000015,大同市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0053,SRC-CTAMAP-1.30,2000,2000年初,1999,大兴安岭地区,232700,地区,黑龙江省,CNUR-000072,大兴安岭地区,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0054,SRC-CTAMAP-1.30,2000,2000年初,1999,丹东市,210600,地级市,辽宁省,CNUR-000042,丹东市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0056,SRC-CTAMAP-1.30,2000,2000年初,1999,德宏傣族景颇族自治州,533100,自治州,云南省,CNUR-000279,德宏傣族景颇族自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0057,SRC-CTAMAP-1.30,2000,2000年初,1999,德阳市,510600,地级市,四川省,CNUR-000240,德阳市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0058,SRC-CTAMAP-1.30,2000,2000年初,1999,德州市,371400,地级市,山东省,CNUR-000148,德州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0059,SRC-CTAMAP-1.30,2000,2000年初,1999,迪庆藏族自治州,533400,自治州,云南省,CNUR-000281,迪庆藏族自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0061,SRC-CTAMAP-1.30,2000,2000年初,1999,定西地区,622400,地区,甘肃省,CNUR-000309,定西地区,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0063,SRC-CTAMAP-1.30,2000,2000年初,1999,东莞市,441900,地级市,广东省,CNUR-000212,东莞市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0064,SRC-CTAMAP-1.30,2000,2000年初,1999,东营市,370500,地级市,山东省,CNUR-000139,东营市,year_end_name,linked,matches_current_legacy,valid,MultiPolygon,true
CTAMAP-2000-PREF-0065,SRC-CTAMAP-1.30,2000,2000年初,1999,伊克昭盟,152700,盟,内蒙古自治区,CNUR-000030,伊克昭盟,year_end_name,linked,historical_or_different,valid,Polygon,true
CTAMAP-2000-PREF-0066,SRC-CTAMAP-1.30,2000,2000年初,1999,鄂州市,420700,地级市,湖北省,CNUR-000174,鄂州市,year_end_name,linked,matches_current_legacy,valid,Polygon,true
CTAMAP-2000-PREF-0067,SRC-CTAMAP-1.30,2000,2000年初,1999,恩施土家族苗族自治州,422800,自治州,湖北省,CNUR-000181,恩施土家族苗族自治州,year_end_name,linked,matches_current_legacy,valid,Polygon,true
