entity_id,canonical_name,province,formation_path,break_years,sample_entry_year,treatment_hint
CNUR-000001,北京市,北京市,stable,,0,aggregate_safe
CNUR-000002,天津市,天津市,stable,,0,aggregate_safe
CNUR-000003,石家庄市,河北省,merge_successor,,0,break_flag_only
CNUR-000004,唐山市,河北省,stable,,0,aggregate_safe
CNUR-000005,秦皇岛市,河北省,stable,,0,aggregate_safe
CNUR-000006,邯郸市,河北省,merge_successor,,0,break_flag_only
CNUR-000007,邢台市,河北省,merge_successor,,0,break_flag_only
CNUR-000008,保定市,河北省,merge_successor,,0,break_flag_only
CNUR-000009,张家口市,河北省,merge_successor,,0,break_flag_only
CNUR-000010,承德市,河北省,merge_successor,,0,break_flag_only
CNUR-000011,沧州市,河北省,merge_successor,,0,break_flag_only
CNUR-000012,廊坊市,河北省,continuous_upgrade,,0,aggregate_safe
CNUR-000013,衡水市,河北省,continuous_upgrade,,0,aggregate_safe
CNUR-000014,太原市,山西省,stable,,0,aggregate_safe
CNUR-000015,大同市,山西省,split_successor,,0,break_flag_only
CNUR-000016,阳泉市,山西省,stable,,0,aggregate_safe
CNUR-000017,长治市,山西省,stable,,0,aggregate_safe
CNUR-000018,晋城市,山西省,stable,,0,aggregate_safe
CNUR-000019,朔州市,山西省,split_successor,,0,break_flag_only
CNUR-000020,晋中市,山西省,continuous_upgrade,,0,aggregate_safe
CNUR-000021,运城市,山西省,continuous_upgrade,,0,aggregate_safe
CNUR-000022,忻州市,山西省,continuous_upgrade,,0,aggregate_safe
CNUR-000023,临汾市,山西省,continuous_upgrade,,0,aggregate_safe
CNUR-000024,吕梁市,山西省,continuous_upgrade,,0,aggregate_safe
CNUR-000025,呼和浩特市,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000026,包头市,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000027,乌海市,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000028,赤峰市,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000029,通辽市,内蒙古自治区,continuous_upgrade,,0,aggregate_safe
CNUR-000030,鄂尔多斯市,内蒙古自治区,continuous_upgrade,,0,aggregate_safe
CNUR-000031,呼伦贝尔市,内蒙古自治区,continuous_upgrade,,0,aggregate_safe
CNUR-000032,巴彦淖尔市,内蒙古自治区,continuous_upgrade,,0,aggregate_safe
CNUR-000033,乌兰察布市,内蒙古自治区,continuous_upgrade,,0,aggregate_safe
CNUR-000034,兴安盟,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000035,锡林郭勒盟,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000036,阿拉善盟,内蒙古自治区,stable,,0,aggregate_safe
CNUR-000037,沈阳市,辽宁省,stable,,0,aggregate_safe
CNUR-000038,大连市,辽宁省,stable,,0,aggregate_safe
CNUR-000039,鞍山市,辽宁省,stable,,0,aggregate_safe
CNUR-000040,抚顺市,辽宁省,stable,,0,aggregate_safe
CNUR-000041,本溪市,辽宁省,stable,,0,aggregate_safe
CNUR-000042,丹东市,辽宁省,stable,,0,aggregate_safe
CNUR-000043,锦州市,辽宁省,stable,,0,aggregate_safe
CNUR-000044,营口市,辽宁省,stable,,0,aggregate_safe
CNUR-000045,阜新市,辽宁省,stable,,0,aggregate_safe
CNUR-000046,辽阳市,辽宁省,stable,,0,aggregate_safe
CNUR-000047,盘锦市,辽宁省,stable,,0,aggregate_safe
CNUR-000048,铁岭市,辽宁省,stable,,0,aggregate_safe
CNUR-000049,朝阳市,辽宁省,stable,,0,aggregate_safe
CNUR-000050,葫芦岛市,辽宁省,continuous_upgrade,,0,aggregate_safe
CNUR-000051,长春市,吉林省,transfer_in,2020,0,break_flag_only
CNUR-000052,吉林市,吉林省,stable,,0,aggregate_safe
CNUR-000053,四平市,吉林省,merged_away,2020,0,break_flag_only
CNUR-000054,辽源市,吉林省,stable,,0,aggregate_safe
CNUR-000055,通化市,吉林省,stable,,0,aggregate_safe
CNUR-000056,白山市,吉林省,continuous_upgrade,,0,aggregate_safe
CNUR-000057,松原市,吉林省,transfer_in,,0,break_flag_only
CNUR-000058,白城市,吉林省,merged_away,,0,break_flag_only
CNUR-000059,延边朝鲜族自治州,吉林省,stable,,0,aggregate_safe
