source_id,source_type,title,url,accessed_date,coverage_start,coverage_end,source_locator,authority,scope,provenance_status,notes
SRC-ADMIN-DIVISION-BOOKS-1983-1986,annual_administrative_division_book,《中华人民共和国行政区划简册》1983—1986年版书目线索,https://ci.nii.ac.jp/ncid/BN05656093,2026-08-04,1983,1986,annual edition bibliography,project,annual_county_roster_and_change_verification,reviewed_reference,Bibliographic lead for year-end roster verification; not used as row-level evidence until the editions are obtained and checked.
SRC-CTAMAP-1.30,annual_vector_snapshot,CTAmap 1.30：2000—2024年初省市县行政区划矢量数据,https://github.com/ruiduobao/shengshixian.com,2026-08-20,2000,2024,CTAmap1.30版本_2000-2024_2025.04.25 local snapshot,project,province_and_prefecture_year_start_geometry_crosscheck,reviewed_reference,Annual year-start Shapefiles are used for spatial alignment and cross-checking; they do not override reviewed CNUR year-end legal status.
SRC-LEGACY-SNAPSHOT,project_snapshot,Original researcher-provided mapping snapshot,,2026-07-11,,,,project,Uncorrected inherited records,unverified,Not individually verified; do not treat as a legal-source citation
SRC-RMRB-1983-10-28,people_daily_summary,今年1至3季度全国县级以上行政区划变动情况,https://cn.govopendata.com/renminribao/1983/10/28/4/,2026-08-04,1983-01,1983-09,人民日报 1983-10-28 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-RMRB-1984-01-31,people_daily_summary,一九八四年下半年全国行政区划变更情况,https://cn.govopendata.com/renminribao/1985/1/31/4/,2026-08-04,1984-07,1984-12,人民日报 1985-01-31 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-RMRB-1985-09-12,people_daily_summary,1985年上半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1985/9/12/4/,2026-08-04,1985-01,1985-06,人民日报 1985-09-12 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-RMRB-1986-01-26,people_daily_summary,一九八五年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1986/01/26/4/,2026-08-04,1985-07,1985-12,人民日报 1986-01-26 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-RMRB-1986-07-18,people_daily_summary,一九八六年上半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1986/7/18/4/,2026-08-04,1986-01,1986-06,人民日报 1986-07-18 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-RMRB-1987-02-10,people_daily_summary,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,2026-08-04,1986-07,1986-12,人民日报 1987-02-10 第4版,project,county_level_and_above_changes,reviewed_reference,The report is a contemporaneous summary of changes approved in the stated period; each imported row retains the full wording.
SRC-STATE-COUNCIL-GAZETTE-ARCHIVE,state_council_gazette_archive,中国政府网：国务院公报历史期号目录,https://www.gov.cn/gongbao/2001/issue_67/,2026-08-04,1983,1986,1983—1986 historical issue links,project,official_approval_document_archive,reviewed_reference,Official Gazette archive used to verify approval documents; some historical PDFs are image-only and still require page-level OCR/manual checking.
SRC-WIKI-1987,wikipedia,1987年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1987,1987,revision 71416601,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1988,wikipedia,1988年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1988,1988,revision 93182311,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1992,wikipedia,1992年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1992,1992,revision 88403920,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1993,wikipedia,1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1993,1993,revision 91124767,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1994,wikipedia,1994年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1994%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1994,1994,revision 93187675,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1995,wikipedia,1995年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1995%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1995,1995,revision 93188363,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
