entity_id,legacy_entity_id,canonical_name_zh,province_name_zh,province_short_zh,entity_level,id_namespace,verification_status
CNUR-000001,E110100,北京市,北京市,北京,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000002,E120100,天津市,天津市,天津,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000003,E130100,石家庄市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000004,E130200,唐山市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000005,E130300,秦皇岛市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000006,E130400,邯郸市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000007,E130500,邢台市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000008,E130600,保定市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000009,E130700,张家口市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000010,E130800,承德市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000011,E130900,沧州市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000012,E131000,廊坊市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000013,E131100,衡水市,河北省,河北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000014,E140100,太原市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000015,E140200,大同市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000016,E140300,阳泉市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000017,E140400,长治市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000018,E140500,晋城市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000019,E140600,朔州市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000020,E140700,晋中市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000021,E140800,运城市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000022,E140900,忻州市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000023,E141000,临汾市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000024,E141100,吕梁市,山西省,山西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000025,E150100,呼和浩特市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000026,E150200,包头市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000027,E150300,乌海市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000028,E150400,赤峰市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000029,E150500,通辽市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000030,E150600,鄂尔多斯市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000031,E150700,呼伦贝尔市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000032,E150800,巴彦淖尔市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000033,E150900,乌兰察布市,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000034,E152200,兴安盟,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000035,E152500,锡林郭勒盟,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000036,E152900,阿拉善盟,内蒙古自治区,内蒙古,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000037,E210100,沈阳市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000038,E210200,大连市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000039,E210300,鞍山市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000040,E210400,抚顺市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000041,E210500,本溪市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000042,E210600,丹东市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000043,E210700,锦州市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000044,E210800,营口市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000045,E210900,阜新市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000046,E211000,辽阳市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000047,E211100,盘锦市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000048,E211200,铁岭市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000049,E211300,朝阳市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000050,E211400,葫芦岛市,辽宁省,辽宁,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000051,E220100,长春市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000052,E220200,吉林市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000053,E220300,四平市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000054,E220400,辽源市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000055,E220500,通化市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000056,E220600,白山市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000057,E220700,松原市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000058,E220800,白城市,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000059,E222400,延边朝鲜族自治州,吉林省,吉林,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000060,E230100,哈尔滨市,黑龙江省,黑龙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000061,E230200,齐齐哈尔市,黑龙江省,黑龙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000062,E230300,鸡西市,黑龙江省,黑龙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000063,E230400,鹤岗市,黑龙江省,黑龙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
