entity_id,legacy_entity_id,canonical_name_zh,entity_scope,id_status
CNUR-000001,E110100,北京市,current_panel_entity,permanent
CNUR-000002,E120100,天津市,current_panel_entity,permanent
CNUR-000003,E130100,石家庄市,current_panel_entity,permanent
CNUR-000004,E130200,唐山市,current_panel_entity,permanent
CNUR-000005,E130300,秦皇岛市,current_panel_entity,permanent
CNUR-000006,E130400,邯郸市,current_panel_entity,permanent
CNUR-000007,E130500,邢台市,current_panel_entity,permanent
CNUR-000008,E130600,保定市,current_panel_entity,permanent
CNUR-000009,E130700,张家口市,current_panel_entity,permanent
CNUR-000010,E130800,承德市,current_panel_entity,permanent
CNUR-000011,E130900,沧州市,current_panel_entity,permanent
CNUR-000012,E131000,廊坊市,current_panel_entity,permanent
CNUR-000013,E131100,衡水市,current_panel_entity,permanent
CNUR-000014,E140100,太原市,current_panel_entity,permanent
CNUR-000015,E140200,大同市,current_panel_entity,permanent
CNUR-000016,E140300,阳泉市,current_panel_entity,permanent
CNUR-000017,E140400,长治市,current_panel_entity,permanent
CNUR-000018,E140500,晋城市,current_panel_entity,permanent
CNUR-000019,E140600,朔州市,current_panel_entity,permanent
CNUR-000020,E140700,晋中市,current_panel_entity,permanent
CNUR-000021,E140800,运城市,current_panel_entity,permanent
CNUR-000022,E140900,忻州市,current_panel_entity,permanent
CNUR-000023,E141000,临汾市,current_panel_entity,permanent
CNUR-000024,E141100,吕梁市,current_panel_entity,permanent
CNUR-000025,E150100,呼和浩特市,current_panel_entity,permanent
CNUR-000026,E150200,包头市,current_panel_entity,permanent
CNUR-000027,E150300,乌海市,current_panel_entity,permanent
CNUR-000028,E150400,赤峰市,current_panel_entity,permanent
CNUR-000029,E150500,通辽市,current_panel_entity,permanent
CNUR-000030,E150600,鄂尔多斯市,current_panel_entity,permanent
CNUR-000031,E150700,呼伦贝尔市,current_panel_entity,permanent
CNUR-000032,E150800,巴彦淖尔市,current_panel_entity,permanent
CNUR-000033,E150900,乌兰察布市,current_panel_entity,permanent
CNUR-000034,E152200,兴安盟,current_panel_entity,permanent
CNUR-000035,E152500,锡林郭勒盟,current_panel_entity,permanent
CNUR-000036,E152900,阿拉善盟,current_panel_entity,permanent
CNUR-000037,E210100,沈阳市,current_panel_entity,permanent
CNUR-000038,E210200,大连市,current_panel_entity,permanent
CNUR-000039,E210300,鞍山市,current_panel_entity,permanent
CNUR-000040,E210400,抚顺市,current_panel_entity,permanent
CNUR-000041,E210500,本溪市,current_panel_entity,permanent
CNUR-000042,E210600,丹东市,current_panel_entity,permanent
CNUR-000043,E210700,锦州市,current_panel_entity,permanent
CNUR-000044,E210800,营口市,current_panel_entity,permanent
CNUR-000045,E210900,阜新市,current_panel_entity,permanent
CNUR-000046,E211000,辽阳市,current_panel_entity,permanent
CNUR-000047,E211100,盘锦市,current_panel_entity,permanent
CNUR-000048,E211200,铁岭市,current_panel_entity,permanent
CNUR-000049,E211300,朝阳市,current_panel_entity,permanent
CNUR-000050,E211400,葫芦岛市,current_panel_entity,permanent
CNUR-000051,E220100,长春市,current_panel_entity,permanent
CNUR-000052,E220200,吉林市,current_panel_entity,permanent
CNUR-000053,E220300,四平市,current_panel_entity,permanent
CNUR-000054,E220400,辽源市,current_panel_entity,permanent
CNUR-000055,E220500,通化市,current_panel_entity,permanent
CNUR-000056,E220600,白山市,current_panel_entity,permanent
CNUR-000057,E220700,松原市,current_panel_entity,permanent
CNUR-000058,E220800,白城市,current_panel_entity,permanent
CNUR-000059,E222400,延边朝鲜族自治州,current_panel_entity,permanent
CNUR-000060,E230100,哈尔滨市,current_panel_entity,permanent
CNUR-000061,E230200,齐齐哈尔市,current_panel_entity,permanent
CNUR-000062,E230300,鸡西市,current_panel_entity,permanent
CNUR-000063,E230400,鹤岗市,current_panel_entity,permanent
CNUR-000064,E230500,双鸭山市,current_panel_entity,permanent
CNUR-000065,E230600,大庆市,current_panel_entity,permanent
CNUR-000066,E230700,伊春市,current_panel_entity,permanent
CNUR-000067,E230800,佳木斯市,current_panel_entity,permanent
CNUR-000068,E230900,七台河市,current_panel_entity,permanent
CNUR-000069,E231000,牡丹江市,current_panel_entity,permanent
CNUR-000070,E231100,黑河市,current_panel_entity,permanent
CNUR-000071,E231200,绥化市,current_panel_entity,permanent
CNUR-000072,E232700,大兴安岭地区,current_panel_entity,permanent
CNUR-000073,E310100,上海市,current_panel_entity,permanent
CNUR-000074,E320100,南京市,current_panel_entity,permanent
CNUR-000075,E320200,无锡市,current_panel_entity,permanent
CNUR-000076,E320300,徐州市,current_panel_entity,permanent
CNUR-000077,E320400,常州市,current_panel_entity,permanent
CNUR-000078,E320500,苏州市,current_panel_entity,permanent
CNUR-000079,E320600,南通市,current_panel_entity,permanent
CNUR-000080,E320700,连云港市,current_panel_entity,permanent
CNUR-000081,E320800,淮安市,current_panel_entity,permanent
CNUR-000082,E320900,盐城市,current_panel_entity,permanent
CNUR-000083,E321000,扬州市,current_panel_entity,permanent
CNUR-000084,E321100,镇江市,current_panel_entity,permanent
CNUR-000085,E321200,泰州市,current_panel_entity,permanent
CNUR-000086,E321300,宿迁市,current_panel_entity,permanent
CNUR-000087,E330100,杭州市,current_panel_entity,permanent
CNUR-000088,E330200,宁波市,current_panel_entity,permanent
CNUR-000089,E330300,温州市,current_panel_entity,permanent
CNUR-000090,E330400,嘉兴市,current_panel_entity,permanent
CNUR-000091,E330500,湖州市,current_panel_entity,permanent
CNUR-000092,E330600,绍兴市,current_panel_entity,permanent
CNUR-000093,E330700,金华市,current_panel_entity,permanent
CNUR-000094,E330800,衢州市,current_panel_entity,permanent
CNUR-000095,E330900,舟山市,current_panel_entity,permanent
CNUR-000096,E331000,台州市,current_panel_entity,permanent
CNUR-000097,E331100,丽水市,current_panel_entity,permanent
CNUR-000098,E340100,合肥市,current_panel_entity,permanent
CNUR-000099,E340200,芜湖市,current_panel_entity,permanent
CNUR-000100,E340300,蚌埠市,current_panel_entity,permanent
CNUR-000101,E340400,淮南市,current_panel_entity,permanent
CNUR-000102,E340500,马鞍山市,current_panel_entity,permanent
CNUR-000103,E340600,淮北市,current_panel_entity,permanent
CNUR-000104,E340700,铜陵市,current_panel_entity,permanent
CNUR-000105,E340800,安庆市,current_panel_entity,permanent
CNUR-000106,E341000,黄山市,current_panel_entity,permanent
CNUR-000107,E341100,滁州市,current_panel_entity,permanent
CNUR-000108,E341200,阜阳市,current_panel_entity,permanent
CNUR-000109,E341300,宿州市,current_panel_entity,permanent
CNUR-000110,E341400,巢湖市,current_panel_entity,permanent
CNUR-000111,E341500,六安市,current_panel_entity,permanent
CNUR-000112,E341600,亳州市,current_panel_entity,permanent
CNUR-000113,E341700,池州市,current_panel_entity,permanent
CNUR-000114,E341800,宣城市,current_panel_entity,permanent
