entity_id,name_zh,start_year,end_year,legal_status,verification_status,derivation_basis
CNUR-000001,北京市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000002,天津市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000003,石家庄市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000004,唐山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000005,秦皇岛市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000006,邯郸市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000007,邢台市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000008,保定市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000009,张家口市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000010,承德市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000011,沧州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000012,廊坊地区,1987,1987,active,reviewed,reviewed_event_chain
CNUR-000012,廊坊市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000013,衡水地区,1987,1995,active,reviewed,reviewed_event_chain
CNUR-000013,衡水市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000014,太原市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000015,大同市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000016,阳泉市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000017,长治市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000018,晋城市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000019,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000019,朔州市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000020,晋中地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000020,晋中市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000021,运城地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000021,运城市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000022,忻州地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000022,忻州市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000023,临汾地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000023,临汾市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000024,吕梁地区,1987,2002,active,reviewed,reviewed_event_chain
CNUR-000024,吕梁市,2003,2026,active,reviewed,existing_2000_2024_roster
CNUR-000025,呼和浩特市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000026,包头市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000027,乌海市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000028,赤峰市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000029,哲里木盟,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000029,通辽市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000030,伊克昭盟,1987,2000,active,reviewed,reviewed_event_chain
CNUR-000030,鄂尔多斯市,2001,2026,active,reviewed,existing_2000_2024_roster
CNUR-000031,呼伦贝尔盟,1987,2000,active,reviewed,reviewed_event_chain
