entity_id,year,status_as_of,year_basis,legal_name_zh,province_name_zh,legal_level,status,verification_status,temporal_confidence,derivation_basis,source_ids,provenance_kind
CNUR-000001,1987,1987-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1988,1988-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1989,1989-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1990,1990-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1991,1991-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1992,1992-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1993,1993-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1994,1994-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1995,1995-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1996,1996-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1997,1997-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1998,1998-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,1999,1999-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
CNUR-000001,2000,2000-12-31,year_end,北京市,北京市,prefecture,active,inferred,medium,reviewed_event_chain,SRC-LEGACY-SNAPSHOT,derived_from_reviewed_year_end_rules
