event_id,year,province_name,event_type,entity_id,entity_ids,prefecture_names,prefecture_entity_ids,old_prefecture_name,new_prefecture_name,approval_date,document_number,automatic_continuity,confidence,review_status,risk_flags,description,review_note,source_url,source_revision_id,source_locator,source_layer,source_id,source_type,source_confidence
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-001,1983,河北省,jurisdiction_transfer,CNUR-000004,CNUR-000004,唐山市,CNUR-000004,唐山地区,唐山市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销唐山地区。将丰润、丰南、滦县、滦南、玉田、遵化、迁西、迁安、唐海、乐亭十县划归唐山市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-002,1983,河北省,upgrade,CNUR-000005,CNUR-000005、CNUR-000355,承德地区、秦皇岛市,CNUR-000005、CNUR-000355,秦皇岛市,秦皇岛市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,秦皇岛市改由省直接领导，将唐山地区的抚宁、昌黎、卢龙三县和承德地区的青龙县划归秦皇岛市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-013,1983,山西省,rename,CNUR-000022,CNUR-000022,忻州地区,CNUR-000022,忻县地区,,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,忻县地区更名为忻州地区,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-014,1983,吉林省,upgrade,CNUR-000053,CNUR-000053、CNUR-000054,四平市、辽源市,CNUR-000053、CNUR-000054,四平地区,辽源市、四平市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销四平地区。四平市、辽源市改由省直接领导。将怀德、梨树、双辽、伊通四县划归四平市管辖；将东丰县划归辽源市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-015,1983,吉林省,jurisdiction_transfer,CNUR-000051,CNUR-000051,长春市,CNUR-000051,德惠地区,长春市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销德惠地区。将农安、德惠、榆树、九台、双阳五县划归长春市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-016,1983,吉林省,jurisdiction_transfer,CNUR-000052,CNUR-000052,吉林市,CNUR-000052,永吉地区,吉林市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销永吉地区。将永吉、舒兰、蛟河、桦甸、磐石五县划归吉林市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-018,1983,黑龙江省,jurisdiction_transfer,CNUR-000062,CNUR-000062、CNUR-000069,牡丹江市、鸡西市,CNUR-000062、CNUR-000069,牡丹江地区,牡丹江市、鸡西市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销牡丹江地区。将海林、林口、宁安、穆棱、东宁、虎林、密山七县划归牡丹江市管辖，绥芬河市仍为省辖（县级）市。将鸡东县划归鸡西市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-022,1983,江苏省,jurisdiction_transfer,CNUR-000075,CNUR-000075、CNUR-000078,无锡市、苏州市,CNUR-000075、CNUR-000078,苏州地区,无锡市、苏州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销苏州地区。将吴县、吴江、昆山、太仓、沙洲五县划归苏州市管辖，撤销常熟县，设立常熟市，为省辖（县级）市。将江阴、无锡二县划归无锡市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-023,1983,江苏省,upgrade,CNUR-000074,CNUR-000074、CNUR-000075、CNUR-000077、CNUR-000084,南京市、常州市、无锡市、镇江市,CNUR-000074、CNUR-000075、CNUR-000077、CNUR-000084,镇江地区,镇江市、南京市、常州市、无锡市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销镇江地区。镇江市改由省直接领导。将丹徒、丹阳、扬中、句容四县划归镇江市管辖。将高淳、溧水二县划归南京市管辖；将宜兴县划归无锡市管辖；将武进、金坛、溧阳三县划归常州市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-024,1983,江苏省,jurisdiction_transfer,CNUR-000079,CNUR-000079,南通市,CNUR-000079,南通地区,南通市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销南通地区。将南通、海门、启东、如东、如皋、海安六县划归南通市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-025,1983,江苏省,jurisdiction_transfer,CNUR-000076,CNUR-000076、CNUR-000080,连云港市、徐州市,CNUR-000076、CNUR-000080,徐州地区,连云港市、徐州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销徐州地区。将铜山、丰县、沛县、邳县、睢宁、新沂六县划归徐州市管辖；将东海、赣榆二县划归连云港市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-026,1983,江苏省,upgrade,CNUR-000083,CNUR-000083、CNUR-000085,扬州市、泰州市,CNUR-000083、CNUR-000085,扬州地区,扬州市、泰州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销扬州地区。扬州市改由省直接领导。将江都、邗江、泰县、高邮、靖江、宝应、泰兴、兴化、仪征九县划归扬州市管辖，泰州市仍为省辖（县级）市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-027,1983,江苏省,jurisdiction_transfer,CNUR-000082,CNUR-000082,盐城市,CNUR-000082,盐城地区,盐城市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销盐城地区。撤销盐城县，设立盐城市，由省直接领导。将建湖、射阳、阜宁、大丰、滨海、东台、响水七县划归盐城市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-028,1983,江苏省,rename,CNUR-000080,CNUR-000080、CNUR-000081,连云港市、淮阴市,CNUR-000080、CNUR-000081,淮阴地区,淮阴市、连云港市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销淮阴地区。清江市更名为淮阴市，淮阴市改由省直接领导。将淮阴、沭阳、洪泽、灌南、泗洪、涟水、宿迁、淮安、泗阳、盱眙、金湖十一县划归淮阴市管辖；将灌云县划归连云港市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-029,1983,浙江省,jurisdiction_transfer,CNUR-000088,CNUR-000088,宁波市,CNUR-000088,宁波地区,宁波市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销宁波地区。将鄞县、慈溪、余姚、奉化、宁海、象山六县划归宁波市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-030,1983,浙江省,upgrade,CNUR-000090,CNUR-000090、CNUR-000091,嘉兴市、湖州市,CNUR-000090、CNUR-000091,嘉兴地区,湖州市、嘉兴市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销嘉兴地区。嘉兴市、湖州市改由省直接领导。将嘉善、平湖、海宁、海盐、桐乡五县划归嘉兴市管辖；将德清、长兴、安吉三县划归湖州市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-031,1983,浙江省,jurisdiction_transfer,CNUR-000092,CNUR-000092,绍兴市,CNUR-000092,绍兴地区,绍兴市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销绍兴地区。恢复绍兴县，以绍兴市的部分行政区域为绍兴县的行政区域。将上虞、诸暨、嵊县、新昌、绍兴五县划归绍兴市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
