event_id,from_entity_id,to_entity_id,relation_type,mapping_quality,automatic_mapping,review_note
WIKI-1987-001,CNUR-000106,CNUR-000106,upgrade,exact,true,
WIKI-1987-002,CNUR-000095,CNUR-000095,upgrade,exact,true,
WIKI-1987-003,CNUR-000341,,abolish,event_only,false,abolished historical autonomous prefecture; former counties moved to direct Hainan Administrative Region control
WIKI-1987-004,CNUR-000238,CNUR-000238,rename,exact,true,
WIKI-1987-005,CNUR-000254,CNUR-000254,rename,exact,true,
WIKI-1988-006,CNUR-000012,CNUR-000012,upgrade,exact,true,
WIKI-1988-007,CNUR-000019,,establish,event_only,false,朔州市 was explicitly established as a prefecture-level city
WIKI-1988-008,CNUR-000188,CNUR-000188,upgrade,exact,true,
WIKI-1988-009,CNUR-000205,CNUR-000205,upgrade,exact,true,
WIKI-1988-010,CNUR-000206,CNUR-000206,upgrade,exact,true,
WIKI-1988-011,CNUR-000208,,establish,event_only,false,汕尾市 was explicitly established as a prefecture-level city
WIKI-1988-012,CNUR-000209,,establish,event_only,false,河源市 was explicitly established as a prefecture-level city
WIKI-1988-013,CNUR-000207,CNUR-000207,upgrade,exact,true,
WIKI-1988-014,CNUR-000210,,establish,event_only,false,阳江市 was explicitly established as a prefecture-level city
WIKI-1988-015,CNUR-000211,,establish,event_only,false,清远市 was explicitly established as a prefecture-level city
WIKI-1988-016,CNUR-000105,,merge,event_only,false,安庆地区 and the existing city were merged into the unified 安庆市
WIKI-1988-017,CNUR-000113,,establish_prefecture,event_only,false,池州地区 later continued as the Chizhou research entity
WIKI-1988-018,CNUR-000121,CNUR-000121,rename,exact,true,建阳地区 renamed 南平地区 and later became 南平市
WIKI-1992-019,CNUR-000107,CNUR-000107,upgrade,exact,true,
WIKI-1992-020,CNUR-000342,CNUR-000342,upgrade,exact,true,Wanxian Prefecture continued as the historical prefecture-level Wanxian City until 1997
WIKI-1992-021,CNUR-000172,,abolish,event_only,false,宜昌地区 merged into the existing 宜昌市
WIKI-1992-022,CNUR-000057,,establish,event_only,false,松原市 was explicitly established as a prefecture-level city
WIKI-1992-023,CNUR-000150,CNUR-000150,rename,exact,true,惠民地区 renamed 滨州地区 and later became 滨州市
WIKI-1993-024,CNUR-000058,CNUR-000058,upgrade,exact,true,
WIKI-1993-025,CNUR-000070,CNUR-000070,upgrade,exact,true,
WIKI-1993-026,CNUR-000176,,establish,event_only,false,孝感市 was explicitly established as a prefecture-level city
WIKI-1993-027,CNUR-000246,CNUR-000246,upgrade,exact,true,
WIKI-1993-028,CNUR-000003,,merge,event_only,false,石家庄地区 merged into 石家庄市
WIKI-1993-029,CNUR-000343,,abolish,event_only,false,Yanbei was abolished and split between Datong and Shuozhou
WIKI-1993-030,CNUR-000222,,establish,event_only,false,防城港市 was explicitly established as a prefecture-level city
WIKI-1993-031,CNUR-000181,CNUR-000181,rename,exact,true,
WIKI-1994-032,CNUR-000096,CNUR-000096,upgrade,exact,true,
WIKI-1994-033,CNUR-000121,CNUR-000121,upgrade,exact,true,
WIKI-1994-034,CNUR-000147,CNUR-000147,upgrade,exact,true,
WIKI-1994-035,CNUR-000148,CNUR-000148,upgrade,exact,true,
WIKI-1994-036,CNUR-000164,CNUR-000164,upgrade,exact,true,
WIKI-1994-037,CNUR-000190,CNUR-000190,upgrade,exact,true,
WIKI-1994-038,CNUR-000191,,establish,event_only,false,郴州市 was explicitly established as a prefecture-level city
WIKI-1994-039,CNUR-000223,CNUR-000223,upgrade,exact,true,
WIKI-1994-040,CNUR-000293,CNUR-000293,upgrade,exact,true,
WIKI-1994-041,CNUR-000171,,merge,event_only,false,郧阳地区 merged into 十堰市
WIKI-1994-042,CNUR-000177,CNUR-000177,upgrade,exact,true,荆州地区 became 荆沙市 and later 荆州市
WIKI-1994-043,CNUR-000050,CNUR-000050,rename,exact,true,
WIKI-1994-044,CNUR-000056,CNUR-000056,rename,exact,true,
WIKI-1994-045,CNUR-000189,CNUR-000189,rename,exact,true,
WIKI-1995-046,CNUR-000178,CNUR-000178,upgrade,exact,true,
WIKI-1995-047,CNUR-000192,CNUR-000192,upgrade,exact,true,
WIKI-1995-048,CNUR-000344,CNUR-000344,upgrade,exact,true,Fuling Prefecture continued as historical prefecture-level Fuling City until 1997
WIKI-1996-049,CNUR-000013,CNUR-000013,upgrade,exact,true,
WIKI-1996-050,CNUR-000108,CNUR-000108,upgrade,exact,true,
WIKI-1996-051,CNUR-000122,CNUR-000122,upgrade,exact,true,
WIKI-1996-052,CNUR-000248,CNUR-000248,upgrade,exact,true,
WIKI-1996-053,CNUR-000295,CNUR-000295,upgrade,exact,true,
WIKI-1996-054,CNUR-000294,CNUR-000294,upgrade,exact,true,
WIKI-1996-055,CNUR-000177,CNUR-000177,rename,exact,true,
WIKI-1996-056,CNUR-000345,,jurisdiction_transfer,event_only,false,"multi-entity transition: Wanxian City, Fuling City, and Qianjiang Prefecture were entrusted to Chongqing administration"
WIKI-1997-057,CNUR-000149,CNUR-000149,upgrade,exact,true,
WIKI-1997-058,CNUR-000165,CNUR-000165,upgrade,exact,true,
WIKI-1997-059,CNUR-000193,CNUR-000193,upgrade,exact,true,
WIKI-1997-060,CNUR-000225,CNUR-000225,upgrade,exact,true,
WIKI-1997-061,CNUR-000259,CNUR-000259,upgrade,exact,true,
WIKI-1997-062,CNUR-000267,CNUR-000267,upgrade,exact,true,
WIKI-1997-063,CNUR-000268,CNUR-000268,upgrade,exact,true,
WIKI-1997-064,CNUR-000227,CNUR-000227,rename,exact,true,
WIKI-1997-065,CNUR-000247,,establish_prefecture,event_only,false,眉山地区 later became 眉山市
WIKI-1998-066,CNUR-000109,CNUR-000109,upgrade,exact,true,
WIKI-1998-067,CNUR-000130,CNUR-000130,upgrade,exact,true,
WIKI-1998-068,CNUR-000166,CNUR-000166,upgrade,exact,true,
WIKI-1998-069,CNUR-000179,CNUR-000179,upgrade,exact,true,
WIKI-1998-070,CNUR-000249,CNUR-000249,upgrade,exact,true,
WIKI-1998-071,CNUR-000323,CNUR-000323,upgrade,exact,true,
WIKI-1998-072,CNUR-000253,,establish_prefecture,event_only,false,资阳地区 later became 资阳市
WIKI-1999-073,CNUR-000020,CNUR-000020,upgrade,exact,true,
WIKI-1999-074,CNUR-000071,CNUR-000071,upgrade,exact,true,
WIKI-1999-075,CNUR-000110,CNUR-000110,upgrade,exact,true,
WIKI-1999-076,CNUR-000111,CNUR-000111,upgrade,exact,true,
